publish_day_index,date,slot,load_hat_kw,pv_hat_kw,net_hat_kwh
22,2025-01-23T00:00:00,134,3495.10108237,8.41570065443,581.114230286
22,2025-01-23T00:00:00,135,3421.29055551,7.89558617304,568.899161556
22,2025-01-23T00:00:00,136,3464.07255642,7.27055481861,576.133666934
22,2025-01-23T00:00:00,137,3601.7696751,6.58680233867,599.19714546
22,2025-01-23T00:00:00,138,3640.22333736,5.88961152937,605.722287639
22,2025-01-23T00:00:00,139,3464.8877217,5.22179828989,576.610987236
22,2025-01-23T00:00:00,140,3479.38802573,4.62228705217,579.127623113
22,2025-01-23T00:00:00,141,3729.060263,4.12484609688,620.822569484
22,2025-01-23T00:00:00,142,3794.22312847,3.75700969223,631.744353129
22,2025-01-23T00:00:00,143,3372.05622049,3.53920991541,561.419501762
22,2025-01-23T00:00:00,144,2721.47502148,3.48413651341,452.998480828
23,2025-01-24T00:00:00,1,2365.33499336,11.7941669105,392.256804409
23,2025-01-24T00:00:00,2,2460.05575403,12.381656117,407.945682986
23,2025-01-24T00:00:00,3,2664.50486404,13.0770929641,441.904628512
23,2025-01-24T00:00:00,4,2751.62271636,13.8537496675,456.294827782
23,2025-01-24T00:00:00,5,2633.57663809,14.678172102,436.483077665
23,2025-01-24T00:00:00,6,2518.91497,15.5111768341,417.233965528
23,2025-01-24T00:00:00,7,2695.15469151,16.3090616359,446.474271646
23,2025-01-24T00:00:00,8,2745.65506342,17.0250039914,454.771676571
23,2025-01-24T00:00:00,9,2651.57687442,17.6106179026,438.994376087
23,2025-01-24T00:00:00,10,2795.93978752,18.0176356488,462.987025312
23,2025-01-24T00:00:00,11,2878.86047139,18.1996781236,476.776798878
23,2025-01-24T00:00:00,12,2799.05062534,18.1140750266,463.489425052
23,2025-01-24T00:00:00,13,2775.73271222,17.7236945698,459.668169609
23,2025-01-24T00:00:00,14,2808.80208446,16.998741503,465.300557159
23,2025-01-24T00:00:00,15,2867.86182706,15.9184821903,475.323890812
23,2025-01-24T00:00:00,16,2934.42955555,14.4728561876,486.659449893
23,2025-01-24T00:00:00,17,2930.17310221,12.6639352689,486.251527823
23,2025-01-24T00:00:00,18,2924.46517105,10.5071931069,485.65966299
23,2025-01-24T00:00:00,19,3061.55697036,8.03255179519,508.920736428
23,2025-01-24T00:00:00,20,3141.48045668,5.28517505235,522.699213604
23,2025-01-24T00:00:00,21,3062.84336964,2.32598222179,510.086231236
23,2025-01-24T00:00:00,22,2943.70702656,0,490.61783776
23,2025-01-24T00:00:00,23,3020.39282985,0,503.398804975
23,2025-01-24T00:00:00,24,3241.29111045,0,540.215185075
23,2025-01-24T00:00:00,25,3298.81519314,0,549.80253219
23,2025-01-24T00:00:00,26,3134.95730982,0,522.492884971
23,2025-01-24T00:00:00,27,3023.65390498,0,503.942317497
23,2025-01-24T00:00:00,28,3295.40196793,0,549.233661321
23,2025-01-24T00:00:00,29,3466.3114401,0,577.718573349
23,2025-01-24T00:00:00,30,3385.2203356,0,564.203389266
23,2025-01-24T00:00:00,31,3353.49294222,0,558.91549037
23,2025-01-24T00:00:00,32,3330.77672937,0,555.129454895
23,2025-01-24T00:00:00,33,3303.06020978,0,550.510034963
23,2025-01-24T00:00:00,34,3334.78216691,0,555.797027818
23,2025-01-24T00:00:00,35,3339.21562361,6.2528586983,555.493794153
23,2025-01-24T00:00:00,36,3322.85830667,16.0058334368,551.142078872
23,2025-01-24T00:00:00,37,3376.18612701,27.9529349719,558.03886534
23,2025-01-24T00:00:00,38,3401.08790702,43.3436614914,559.624040922
23,2025-01-24T00:00:00,39,3358.63913923,58.7967939205,549.973724217
23,2025-01-24T00:00:00,40,3338.53940966,77.5038438676,543.505927632
23,2025-01-24T00:00:00,41,3502.6242679,120.129044653,563.749203874
23,2025-01-24T00:00:00,42,3774.51973225,247.298571532,587.870193453
23,2025-01-24T00:00:00,43,3902.84035346,462.444877216,573.39924604
23,2025-01-24T00:00:00,44,3951.51065897,704.601763367,541.1514826
23,2025-01-24T00:00:00,45,3955.09617845,952.952533118,500.357274222
23,2025-01-24T00:00:00,46,3886.23344609,1227.13950818,443.182322984
23,2025-01-24T00:00:00,47,3903.79272192,1477.54855175,404.374028362
23,2025-01-24T00:00:00,48,3986.70700861,1721.33270855,377.562383344
23,2025-01-24T00:00:00,49,3960.69700142,2026.07713092,322.436645082
23,2025-01-24T00:00:00,50,3942.07151166,2325.94118853,269.355053854
23,2025-01-24T00:00:00,51,3953.37023651,2606.18983991,224.5300661
23,2025-01-24T00:00:00,52,3939.97487525,2911.27342008,171.450242529
